ID,Salary,Pr/St,Cntry,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Position,Team,GP,G,A,PTS,+/-,PIM
412,600000,ON,CAN,77,212,2011,7,191,L,C,MIN,52,7,2,9,7,10
413,2400000,SK,CAN,73,202,2004,2,47,R,LW/RW,COL,77,8,12,20,-19,58
414,925000,NY,USA,74,207,2013,2,42,R,D,N.J,38,2,5,7,-6,14
415,3500000,ON,CAN,76,208,2003,1,2,L,C,MIN,82,28,37,65,17,34
416,4500000,,FIN,75,213,2013,1,2,L,C,FLA,61,21,31,52,13,10
417,692500,TX,USA,71,200,2011,3,75,L,C/LW,N.J,23,1,1,2,-7,27
418,5000000,,SVK,81,250,1996,3,56,L,D,BOS,75,9,19,29,18,59
419,5000000,,CZE,73,194,2006,1,10,L,RW/C,CGY,82,17,27,44,13,58
420,2825000,SK,CAN,73,211,2012,1,2,L,D,CBJ,60,2,9,11,3,24
421,7000000,,SWE,72,191,2008,1,15,R,D,OTT,77,17,54,71,10,28
422,1000000,SK,CAN,73,213,2003,9,265,L,LW,NYR,11,1,1,2,0,17
423,3900000,MI,USA,73,212,2007,4,95,L,D,L.A,82,9,30,39,-17,24
424,3500000,QC,CAN,72,179,1998,2,45,L,C,NSH,46,4,21,25,-5,14
425,925000,ON,CAN,72,192,2014,2,55,R,D,ANA,27,2,4,6,11,14
426,3500000,CT,USA,68,182,2008,6,157,R,RW,CBJ,82,35,27,62,13,22
427,6000000,AB,CAN,73,201,2010,1,1,L,LW/C,N.J,72,20,33,53,-9,32
428,4000000,WI,USA,73,208,2009,4,98,R,RW/LW/C,NSH,78,12,17,29,7,30
429,925000,NY,USA,76,222,2014,1,18,R,RW,MIN,6,0,0,0,-3,0
430,950000,SK,CAN,72,200,2002,1,17,R,C/RW,PHI,13,1,0,1,-5,2
431,792500,IL,USA,72,187,2014,2,58,L,C/LW,ARI,78,15,18,33,7,22
432,4000000,MI,USA,75,192,,,,L,D,DET,82,4,8,12,-22,33
433,840000,ON,CAN,70,188,2011,3,68,L,C/LW,PHI,60,6,10,16,-6,31
434,5850000,AK,USA,74,218,2004,2,60,L,C/LW,CBJ,80,12,29,41,16,91
435,1500000,,SWE,75,209,2006,6,161,L,LW/RW,CAR/OTT,75,11,5,16,-9,41
436,4000000,ON,CAN,75,204,2005,1,4,L,LW,EDM,67,8,6,14,-5,34
437,5250000,NY,USA,75,228,2008,1,3,R,D,BUF,56,2,9,11,-17,46
438,950000,SK,CAN,76,225,2006,3,68,R,D,EDM,40,2,4,6,-5,65
439,750000,ON,CAN,71,185,2011,1,12,R,D,CAR,27,0,2,2,-11,8
440,600000,ON,CAN,70,195,2007,5,132,L,LW/RW,MTL,14,2,2,4,-1,4
441,4250000,,RUS,72,200,1998,6,162,L,D,MTL,62,6,30,36,18,16
442,2800000,,CZE,74,215,2012,1,17,L,C/RW,S.J,49,10,12,22,-8,14
443,925000,QC,CAN,74,190,2015,1,18,L,D,OTT,1,0,0,0,-2,0
444,1000000,,FIN,73,193,2004,1,19,L,LW/RW,CBJ/DAL,69,8,12,20,5,10
445,950000,AB,CAN,71,176,2004,5,134,R,RW/LW,CGY,69,15,22,37,-3,46
446,2200000,,FRA,72,200,,,,L,LW,DAL,60,12,15,27,1,115
447,600000,NY,USA,73,200,,,,L,LW/RW,BUF,4,0,1,1,2,0
448,2100000,SK,CAN,76,229,2007,4,109,L,LW/RW,L.A/MTL,80,9,7,16,-2,12
449,1250000,,SWE,73,189,2010,3,90,L,LW/C,CAR,82,7,5,12,-12,17
450,3000000,QC,CAN,73,197,,,,L,LW/RW,OTT/VAN,75,15,16,31,3,62
451,1300000,QC,CAN,71,190,2004,4,126,R,C/RW,MTL,78,8,9,17,5,38
452,575000,AB,CAN,71,180,,,,L,D,N.J,11,0,3,3,-5,13
453,6000000,ON,CAN,72,202,2002,8,241,R,D,CGY,57,5,13,18,-6,32
454,600000,,DNK,72,175,2013,3,89,R,RW,CBJ,26,6,7,13,4,6
455,4500000,BC,CAN,75,215,2004,7,214,R,RW,CGY,74,13,12,25,-11,31
456,4250000,,CHE,73,201,2008,2,38,L,D,NSH,72,12,37,49,7,18
457,867500,ON,CAN,72,200,2012,2,38,L,LW,CAR,36,1,6,7,-12,15
458,575000,BC,CAN,69,176,,,,L,C/LW,NYI,4,0,0,0,1,2
459,4000000,,SWE,73,193,2011,1,10,L,D,MIN,68,3,22,25,5,20
460,925000,,SWE,75,214,2013,2,34,L,LW,MTL,9,0,0,0,-3,4
461,1125000,MB,CAN,73,225,2005,5,156,R,RW,STL,80,7,6,13,4,104
462,832500,AB,CAN,72,195,2013,1,13,L,D,WPG,82,6,14,20,6,38
463,575000,MA,USA,70,190,,,,L,RW,MTL,3,0,0,0,0,17
464,832500,QC,CAN,71,188,2013,1,3,L,LW,T.B,73,21,32,53,-13,16
465,2500000,ON,CAN,70,180,2009,1,11,R,D,NSH,71,16,22,38,17,29
466,4250000,AB,CAN,69,164,2008,6,156,R,D,MIN,76,10,28,38,33,20
467,7000000,AB,CAN,74,227,2002,2,61,R,D,NYI,66,6,17,23,11,19
468,900000,ON,CAN,72,190,1999,3,94,L,C/LW,OTT,82,5,7,12,-17,23
469,1100000,BC,CAN,74,200,,,,L,D,DAL/MTL,71,4,13,17,-4,28
470,10000000,,RUS,75,239,2004,1,1,R,LW/RW,WSH,82,33,36,69,6,50
471,2100000,CT,USA,73,196,2007,6,173,L,C,PIT,80,18,19,37,-5,16
472,925000,,CZE,72,181,2014,1,25,R,RW/LW,BOS,75,34,36,70,11,34
473,4000000,ON,CAN,73,200,2001,5,151,R,D,ANA,81,3,11,14,0,63
474,832500,ON,CAN,73,190,2012,1,20,L,C/LW,PHI,2,0,0,0,0,0
475,842500,AB,CAN,73,195,2014,1,30,L,C,N.J,12,1,3,4,1,2
476,3600000,,ITA,74,209,2008,1,19,L,D,VAN,82,2,11,13,-1,40
477,2700000,ON,CAN,71,195,2002,2,43,L,D,PIT,56,5,14,19,7,37
478,925000,,SWE,74,197,2015,1,20,L,C/RW/LW,MIN,15,3,4,7,1,4
479,742500,CO,USA,74,205,2012,4,120,L,D,CAR,82,5,29,34,23,12
480,925000,AZ,USA,74,202,2016,1,6,L,LW,CGY,76,13,35,48,14,105
481,775000,CA,USA,73,212,2010,1,29,L,LW/RW,ANA,3,0,0,0,1,2
482,575000,NY,USA,67,175,,,,R,RW/C,NYI,26,1,5,6,9,2
483,925000,,CHE,70,193,2014,1,11,L,LW,NSH,54,11,5,16,1,18
484,825000,IL,USA,75,215,2011,6,160,R,D,ANA,82,5,12,17,14,82
485,3000000,PE,CAN,76,212,2005,2,55,R,D,BOS,77,2,8,10,4,71
486,925000,,GBR,75,211,2014,1,12,L,LW,ARI,57,14,7,21,-4,20
487,925000,BC,CAN,70,190,,,,R,D,VAN,71,3,21,24,-16,25
488,4400000,,FIN,74,212,2008,3,65,L,C,STL,64,7,15,22,-6,34
489,2200000,MB,CAN,71,188,2008,5,127,L,LW,CBJ,65,10,5,15,-4,48
490,925000,AZ,USA,75,216,2016,1,1,L,C,TOR,82,40,29,69,2,14
491,7000000,ON,CAN,75,205,2008,1,4,R,D,STL,80,14,34,48,3,24
492,800000,ON,CAN,72,185,2012,2,47,L,LW,CAR,57,7,9,16,-11,6
493,925000,ON,CAN,72,170,2015,1,4,R,C/RW,TOR,77,19,42,61,0,38
494,2500000,MN,USA,75,206,2010,1,30,L,C/LW,NYI,81,20,25,45,-6,36
495,6000000,ON,CAN,73,211,2009,1,1,L,C,NYI,77,28,38,66,4,38
496,667500,PA,USA,72,193,2012,6,167,R,RW,WSH,3,0,0,0,0,0
497,575000,ON,CAN,71,180,,,,L,LW,NSH,24,2,2,4,-2,10
498,1200000,AB,CAN,76,206,2010,2,36,R,D,FLA,49,1,13,14,-1,79
499,925000,MA,USA,74,196,2015,1,2,R,C,BUF,61,24,33,57,-13,22
500,925000,BC,CAN,73,229,2014,1,6,R,RW,VAN,10,0,1,1,1,2
501,925000,,SWE,76,203,2016,1,4,R,RW,EDM,28,1,7,8,5,10
502,1600000,,CZE,79,220,,,,R,D,T.B,80,3,11,14,-10,43
503,715000,,FRA,73,208,2011,2,48,L,D,DET,66,3,9,12,2,51
504,700000,ON,CAN,70,193,2009,5,147,L,C,OTT,7,0,0,0,-3,2
505,650000,MI,USA,73,210,,,,R,C,CAR,14,0,0,0,-6,0
506,575000,BC,CAN,73,207,,,,L,D,NSH,74,3,11,14,15,26
507,600000,,CZE,73,210,1996,4,105,R,D,CHI,22,1,2,3,-3,14
508,2000000,IN,USA,70,185,2000,5,159,L,D,BOS,36,0,5,5,1,4
509,750000,NJ,USA,74,188,,,,R,D,CHI,58,5,11,16,17,29
510,925000,MI,USA,74,218,2015,1,8,L,D,CBJ,78,11,36,47,17,14
511,7250000,QC,CAN,72,201,2005,3,62,R,D,PIT,41,5,29,34,2,32
512,2750000,AB,CAN,74,214,2000,6,194,R,D,CGY,81,4,12,16,2,85
513,625000,MA,USA,72,195,2010,5,122,R,C/RW,ANA,43,6,1,7,2,6
514,625000,MB,CAN,72,202,2012,2,58,L,LW/C,ARI,77,11,14,25,-8,40
515,925000,ON,CAN,75,210,2012,3,65,L,D,NYI,44,3,7,10,-5,6
516,925000,,RUS,74,193,2013,3,75,L,RW/LW,NYR,41,8,12,20,6,13
517,3700000,SK,CAN,77,223,2003,1,8,L,D,T.B,80,5,7,12,-1,50
518,4350000,WI,USA,74,214,2004,1,13,R,RW/LW,BOS/WPG,58,8,13,21,6,24
519,925000,ON,CAN,75,185,2015,1,3,L,C,ARI,7,0,1,1,-5,0
520,675000,NC,USA,71,198,2008,6,169,R,RW/C,COL/TOR,40,2,2,4,-7,4
521,1250000,AB,CAN,71,205,,,,L,C/LW,N.J/NSH,59,2,2,4,-15,66
522,600000,TX,USA,73,205,2011,1,21,R,RW,ANA/N.J,44,8,2,10,6,24
523,4000000,CT,USA,73,221,2008,1,7,L,LW/C,NSH,70,12,23,35,7,18
524,1050000,,SWE,72,184,2009,2,40,L,C/LW/RW,EDM,22,1,3,4,2,6
525,800000,AB,CAN,72,199,2011,1,23,L,D,BOS,17,0,1,1,-4,8
526,7875000,MI,USA,74,202,2003,1,23,R,C/RW,ANA,82,22,36,58,8,83
527,2250000,,CZE,74,235,2004,6,180,R,D,TOR,75,4,7,11,10,65
528,5400000,,FIN,75,215,2001,1,6,L,C,MIN,80,18,40,58,27,34
529,667500,IL,USA,69,173,2012,6,169,R,LW/C,CHI,49,6,8,14,-1,17
530,6750000,ON,CAN,76,220,1997,1,1,L,C,S.J,79,7,43,50,7,51
531,1700000,,CHE,71,192,2011,1,13,L,LW,VAN,68,18,17,35,-6,8
532,1850000,,SWE,72,180,,,,R,C/RW,S.J,67,11,11,22,7,22
533,5750000,MN,USA,73,200,2005,1,28,R,D,WSH,78,5,34,39,20,32
534,925000,MA,USA,70,194,,,,R,C/RW,PHI,2,0,0,0,-1,0
535,4000000,ON,CAN,73,207,2010,1,12,L,D,ANA,80,11,28,39,7,20
536,817500,IL,USA,74,214,2015,2,32,R,RW,ARI,7,3,0,3,0,0
537,5500000,QC,CAN,73,200,2008,7,186,R,D,FLA,81,9,19,28,-14,53
538,3000000,QC,CAN,70,188,2006,6,177,L,C/LW,WPG,65,13,32,45,-11,30
539,5000000,ON,CAN,73,200,2003,9,263,L,LW,BUF,81,14,18,32,-4,10
540,874125,ON,CAN,75,205,,,,L,C,ARI,4,0,1,1,0,0
541,925000,MN,USA,68,178,2011,3,91,L,C,FLA,24,2,1,3,-3,4
542,700000,ON,CAN,76,225,2007,6,172,L,LW,N.J,11,0,0,0,-2,12
543,925000,AB,CAN,78,226,2012,3,86,R,D,STL,81,4,31,35,7,32
544,600000,SK,CAN,74,205,2012,2,60,R,D,N.J,80,3,28,31,-31,58
545,575000,BC,CAN,73,200,2012,2,50,R,C,NSH,58,8,2,10,11,12
546,600000,MN,USA,76,210,2009,4,114,L,D,N.J,9,1,0,1,2,15
547,1650000,ON,CAN,76,215,2009,2,54,L,D,COL,27,0,1,1,-4,12
548,12000000,BC,CAN,76,232,2003,2,49,R,D,MTL,78,17,25,42,20,38
549,4250000,,DNK,74,207,2007,1,13,L,C/LW/RW,WSH,81,12,13,25,15,36
550,3200000,,CZE,74,210,,,,R,D,ARI,3,0,0,0,1,0
551,4875000,MB,CAN,74,205,2008,2,53,R,D,NYI,49,3,11,14,-21,60
552,600000,,CZE,72,203,2011,6,158,L,C/LW,CBJ,62,7,6,13,10,25
553,2500000,CA,USA,74,210,,,,R,D,BOS,58,3,10,13,1,50
554,2000000,CA,USA,71,187,2010,2,59,L,LW/RW,MIN,79,22,25,47,34,30
555,1000000,ON,CAN,75,219,2009,7,186,L,C/LW/RW,L.A,46,4,4,8,-3,44
556,575000,QC,CAN,69,172,,,,L,C,T.B,20,6,2,8,-1,8
557,925000,NY,USA,72,190,2013,6,159,L,C,BUF,1,0,0,0,0,0
558,1300000,ON,CAN,71,181,1999,5,128,L,C/LW,FLA,82,6,10,16,-7,50
559,700000,ON,CAN,75,221,2012,4,95,R,RW,CBJ,78,17,12,29,12,89
560,950000,,SWE,71,185,2009,2,53,L,RW,VAN,3,0,1,1,1,0
561,625000,MI,USA,71,192,2007,4,93,R,D,FLA/NYR,11,1,1,2,-2,6
562,3500000,ON,CAN,77,220,2010,1,3,R,D,VAN,30,1,5,6,-14,18
563,650000,,CZE,73,194,2012,2,49,R,RW,CAR,2,0,0,0,-3,0
564,5000000,SK,CAN,74,215,2000,1,6,L,LW,CBJ,78,13,24,37,14,63
565,1300000,,RUS,75,210,2011,7,205,R,D,DET/TOR,41,1,7,8,7,12
566,800000,QC,CAN,70,206,2009,5,132,L,LW/RW,COL,6,0,0,0,0,0
567,4500000,,SWE,71,190,2005,7,216,R,D,T.B,73,5,17,22,1,20
568,925000,,SWE,74,196,2013,1,14,L,C,CBJ,80,13,46,59,9,21
569,2600000,,AUT,74,214,2003,1,5,R,LW/RW,DET/FLA,68,17,31,48,-5,22
570,750000,QC,CAN,69,174,,,,R,C,FLA,75,30,21,51,-21,38
571,615000,ON,CAN,75,210,2012,6,161,R,D,T.B,35,0,11,11,10,35
572,645000,,FIN,75,198,2012,6,176,L,D,STL,7,0,0,0,-4,4
573,3500000,,CHE,74,211,2010,1,5,L,RW,MIN,82,25,32,57,17,53
574,925000,,FIN,76,211,2015,1,10,L,RW,COL,75,20,18,38,-25,22
575,11000000,ON,CAN,72,210,2007,2,43,R,D,NSH,66,10,30,40,-8,44
576,3550000,SK,CAN,72,195,,,,L,LW,PIT,71,9,20,29,0,36
577,900000,SK,CAN,113,201,2009,1,0,R,C,CAR,-4,2,0,2,2,20
578,4000000,,CHE,71,191,2004,9,262,L,D,PHI/PIT,68,6,21,27,-12,28
579,3000000,,SWE,76,215,2009,4,102,L,D,NSH,82,3,20,23,4,34
580,792500,,SWE,72,201,2013,6,180,L,LW,BOS,19,1,1,2,-2,7
581,5000000,NS,CAN,72,205,2013,1,1,R,C/RW,COL,82,16,37,53,-14,16
582,667500,AB,CAN,73,186,2015,2,51,L,D,BUF,3,0,0,0,1,0
583,925000,ON,CAN,76,216,2014,1,1,R,D,FLA,68,10,11,21,-23,58
584,3500000,ON,CAN,71,218,2006,3,72,R,RW,NYI,66,5,15,20,2,28
585,4000000,,CZE,72,188,2011,7,208,L,LW,T.B,75,17,35,52,8,39
586,5000000,AB,CAN,72,191,2006,1,12,R,C/RW,WPG,59,21,26,47,-7,18
587,1000000,,SWE,73,189,2011,2,53,L,C,CBJ,81,6,19,25,10,10
588,832500,,AUT,75,205,2013,1,23,L,LW/C,WSH,64,12,23,35,13,14
589,6000000,BC,CAN,74,211,2009,1,4,L,LW,BUF,70,28,15,43,-17,113
590,3750000,QC,CAN,72,200,2007,1,26,R,LW/RW,STL,82,18,28,46,-2,54
591,1850000,MN,USA,72,209,2000,5,131,L,LW/C,EDM,42,4,3,7,-3,29
592,3000000,,SWE,75,205,2012,1,6,L,D,ANA,66,6,14,20,13,36
593,2950000,,EST,71,210,2006,6,180,L,C/LW,TOR,82,14,18,32,6,31
594,650000,PA,USA,76,230,2010,2,60,R,D,DAL,61,4,6,10,-10,36
595,800000,ON,CAN,73,195,,,,L,LW/C,CHI,46,0,1,1,-6,22
596,950000,BC,CAN,73,205,,,,L,D,PHI,65,3,9,12,-12,83
597,792500,,FIN,73,186,2015,7,189,L,D,CBJ,66,2,5,7,7,6
598,5000000,,FIN,72,196,2002,3,95,L,C/LW,PHI/T.B,79,12,30,42,-1,26
599,1000000,OK,USA,75,205,2010,2,38,L,D,N.J,51,1,5,6,-9,24
600,750000,MI,USA,75,221,2008,5,128,R,D,DAL/MTL,36,1,8,9,-1,10
601,575000,ON,CAN,73,195,,,,L,C/RW,NSH,1,0,0,0,0,0
602,925000,AB,CAN,73,180,2016,1,8,R,RW/LW,BUF,4,0,1,1,-2,0
603,1025000,NJ,USA,74,183,2003,6,186,L,LW/RW,DET,55,5,2,7,-12,18
604,925000,MA,USA,72,183,2015,1,21,R,C/D,OTT,2,0,0,0,0,0
605,725000,,RUS,71,191,2011,5,148,L,D,MTL/T.B,48,4,13,17,0,24
606,6500000,SK,CAN,74,215,1997,1,2,L,LW/C,S.J,82,27,19,46,4,28
607,692500,NY,USA,75,214,2013,2,52,R,RW,BUF,32,2,2,4,0,4
608,3750000,PA,USA,70,182,2011,3,64,R,C/RW,FLA,82,23,31,54,-13,43
609,4750000,NS,CAN,73,204,2006,6,160,L,D,PHI,73,2,16,18,-5,26
610,842500,,SWE,71,196,2012,2,37,R,LW,NSH,15,1,1,2,-2,4
611,670000,ON,CAN,70,190,2012,4,104,L,C,DAL,17,3,3,6,-1,21
612,5750000,,RUS,76,198,2006,2,54,L,C/LW,CHI,64,22,23,45,9,30
613,575000,,RUS,68,170,,,,L,LW,CAR,2,0,1,1,0,0
614,4250000,,SWE,78,223,2009,1,2,L,D,T.B,79,16,56,72,3,47
615,717500,CO,USA,77,203,2015,2,37,R,D,BOS,82,6,10,16,9,59
616,4000000,ON,CAN,70,185,,,,R,RW/LW,PHI,63,10,9,19,3,8
617,700000,,SWE,73,200,2011,5,126,L,D,OTT,33,3,8,11,5,4